Komentar,Username,Like,Sentimen,cleaning,case_folding,token,stopword,stemming
"Sbg rakyat yg hidup di daerah,kondisi ekonomi saat ini masih lancar2 aja walaupun hrg Pertamax naik,tiap hari krj masih dpt income lmyn ,dagang jg masih ok2 aja.",@SugengRiyadi-m5t,0,Netral,Sbg rakyat yg hidup di daerahkondisi ekonomi saat ini masih lancar aja walaupun hrg Pertamax naiktiap hari krj masih dpt income lmyn dagang jg masih ok aja,sbg rakyat yg hidup di daerahkondisi ekonomi saat ini masih lancar aja walaupun hrg pertamax naiktiap hari krj masih dpt income lmyn dagang jg masih ok aja,"['sbg', 'rakyat', 'yg', 'hidup', 'di', 'daerahkondisi', 'ekonomi', 'saat', 'ini', 'masih', 'lancar', 'aja', 'walaupun', 'hrg', 'pertamax', 'naiktiap', 'hari', 'krj', 'masih', 'dpt', 'income', 'lmyn', 'dagang', 'jg', 'masih', 'ok', 'aja']","['sbg', 'rakyat', 'yg', 'hidup', 'daerahkondisi', 'ekonomi', 'saat', 'masih', 'lancar', 'aja', 'walaupun', 'hrg', 'pertamax', 'naiktiap', 'hari', 'krj', 'masih', 'dpt', 'income', 'lmyn', 'dagang', 'jg', 'masih', 'ok', 'aja']",sbg rakyat yg hidup daerahkondisi ekonomi saat masih lancar aja walaupun hrg pertamax naiktiap hari krj masih dpt income lmyn dagang jg masih ok aja
Kenapa tidak dari awal sudah bahas ini ya? Apa karena nggak boleh? Berita msci kan udah lumayan lama...,@Syam-d2o,0,Netral,Kenapa tidak dari awal sudah bahas ini ya Apa karena nggak boleh Berita msci kan udah lumayan lama,kenapa tidak dari awal sudah bahas ini ya apa karena nggak boleh berita msci kan udah lumayan lama,"['kenapa', 'tidak', 'dari', 'awal', 'sudah', 'bahas', 'ini', 'ya', 'apa', 'karena', 'nggak', 'boleh', 'berita', 'msci', 'kan', 'udah', 'lumayan', 'lama']","['kenapa', 'tidak', 'awal', 'sudah', 'bahas', 'ya', 'apa', 'nggak', 'boleh', 'berita', 'msci', 'kan', 'udah', 'lumayan', 'lama']",kenapa tidak awal sudah bahas ya apa nggak boleh berita msci kan udah lumayan lama
"Mantap ini , sy suka ulasannya Krn obyektif",@haruniskandar8542,1,Positif,Mantap ini sy suka ulasannya Krn obyektif,mantap ini sy suka ulasannya krn obyektif,"['mantap', 'ini', 'sy', 'suka', 'ulasannya', 'krn', 'obyektif']","['mantap', 'sy', 'suka', 'ulasannya', 'krn', 'obyektif']",mantap sy suka ulas krn obyektif
Buzzer2 Antek2 Koruptor Penghianat Bangsa dan Antek2 Asing masih banyak berkeliaran di Indonesia. Bongkar terus bang Bennix..,@parkwondo666,0,Netral,Buzzer Antek Koruptor Penghianat Bangsa dan Antek Asing masih banyak berkeliaran di Indonesia Bongkar terus bang Bennix,buzzer antek koruptor penghianat bangsa dan antek asing masih banyak berkeliaran di indonesia bongkar terus bang bennix,"['buzzer', 'antek', 'koruptor', 'penghianat', 'bangsa', 'dan', 'antek', 'asing', 'masih', 'banyak', 'berkeliaran', 'di', 'indonesia', 'bongkar', 'terus', 'bang', 'bennix']","['buzzer', 'antek', 'koruptor', 'penghianat', 'bangsa', 'antek', 'asing', 'masih', 'banyak', 'berkeliaran', 'indonesia', 'bongkar', 'terus', 'bang', 'bennix']",buzzer antek koruptor penghianat bangsa antek asing masih banyak liar indonesia bongkar terus bang bennix
"Kocak lu.. 😂
Lu yang gak berpengalaman, Bu Gema Goeryadi yang lu maksud siapa..?
Setahu gua Bapak Gema Goeryadi, salah satu content creator finansial.",@apputuasiburian,0,Netral,Kocak lu Lu yang gak berpengalaman Bu Gema Goeryadi yang lu maksud siapa Setahu gua Bapak Gema Goeryadi salah satu content creator finansial,kocak lu lu yang gak berpengalaman bu gema goeryadi yang lu maksud siapa setahu gua bapak gema goeryadi salah satu content creator finansial,"['kocak', 'lu', 'lu', 'yang', 'gak', 'berpengalaman', 'bu', 'gema', 'goeryadi', 'yang', 'lu', 'maksud', 'siapa', 'setahu', 'gua', 'bapak', 'gema', 'goeryadi', 'salah', 'satu', 'content', 'creator', 'finansial']","['kocak', 'lu', 'lu', 'gak', 'berpengalaman', 'bu', 'gema', 'goeryadi', 'lu', 'maksud', 'siapa', 'setahu', 'gua', 'bapak', 'gema', 'goeryadi', 'salah', 'satu', 'content', 'creator', 'finansial']",kocak lu lu gak alam bu gema goeryadi lu maksud siapa tahu gua bapak gema goeryadi salah satu content creator finansial
"Karena institusi lebih memilih main aman dan mengikuti MSCI aja ya emang fungsinya itu. Pasar tuh memang gampang di arahin rumor ga guna. Contohnya aja kaya share rockstar yang jatuh lumayan dalam gara² ai ngebuat simulasi game yang mereka anggap itu dapat menjatuhkan industri game, tapi akhirnya itu cuma hoax aja",@seanrafabagass,0,Netral,Karena institusi lebih memilih main aman dan mengikuti MSCI aja ya emang fungsinya itu Pasar tuh memang gampang di arahin rumor ga guna Contohnya aja kaya share rockstar yang jatuh lumayan dalam gara ai ngebuat simulasi game yang mereka anggap itu dapat menjatuhkan industri game tapi akhirnya itu cuma hoax aja,karena institusi lebih memilih main aman dan mengikuti msci aja ya emang fungsinya itu pasar tuh memang gampang di arahin rumor ga guna contohnya aja kaya share rockstar yang jatuh lumayan dalam gara ai ngebuat simulasi game yang mereka anggap itu dapat menjatuhkan industri game tapi akhirnya itu cuma hoax aja,"['karena', 'institusi', 'lebih', 'memilih', 'main', 'aman', 'dan', 'mengikuti', 'msci', 'aja', 'ya', 'emang', 'fungsinya', 'itu', 'pasar', 'tuh', 'memang', 'gampang', 'di', 'arahin', 'rumor', 'ga', 'guna', 'contohnya', 'aja', 'kaya', 'share', 'rockstar', 'yang', 'jatuh', 'lumayan', 'dalam', 'gara', 'ai', 'ngebuat', 'simulasi', 'game', 'yang', 'mereka', 'anggap', 'itu', 'dapat', 'menjatuhkan', 'industri', 'game', 'tapi', 'akhirnya', 'itu', 'cuma', 'hoax', 'aja']","['institusi', 'lebih', 'memilih', 'main', 'aman', 'mengikuti', 'msci', 'aja', 'ya', 'emang', 'fungsinya', 'pasar', 'tuh', 'memang', 'gampang', 'arahin', 'rumor', 'ga', 'guna', 'contohnya', 'aja', 'kaya', 'share', 'rockstar', 'jatuh', 'lumayan', 'dalam', 'gara', 'ai', 'ngebuat', 'simulasi', 'game', 'mereka', 'anggap', 'dapat', 'menjatuhkan', 'industri', 'game', 'tapi', 'akhirnya', 'cuma', 'hoax', 'aja']",institusi lebih pilih main aman ikut msci aja ya emang fungsi pasar tuh memang gampang arahin rumor ga guna contoh aja kaya share rockstar jatuh lumayan dalam gara ai ngebuat simulasi game mereka anggap dapat jatuh industri game tapi akhir cuma hoax aja
Semoga Amerika Serikat dan Israel segera dihancurkan oleh Tuhan aamiin,@BujangRantau-t2x,0,Netral,Semoga Amerika Serikat dan Israel segera dihancurkan oleh Tuhan aamiin,semoga amerika serikat dan israel segera dihancurkan oleh tuhan aamiin,"['semoga', 'amerika', 'serikat', 'dan', 'israel', 'segera', 'dihancurkan', 'oleh', 'tuhan', 'aamiin']","['semoga', 'amerika', 'serikat', 'israel', 'segera', 'dihancurkan', 'oleh', 'tuhan', 'aamiin']",moga amerika serikat israel segera hancur oleh tuhan aamiin
"Emg bangke media media penghianat bangsa ini ,f*CK  . peliharaan Joss coros bangke harus di musnahkan om ben",@noerfofficial6875,0,Netral,Emg bangke media media penghianat bangsa ini fCK peliharaan Joss coros bangke harus di musnahkan om ben,emg bangke media media penghianat bangsa ini fck peliharaan joss coros bangke harus di musnahkan om ben,"['emg', 'bangke', 'media', 'media', 'penghianat', 'bangsa', 'ini', 'fck', 'peliharaan', 'joss', 'coros', 'bangke', 'harus', 'di', 'musnahkan', 'om', 'ben']","['emg', 'bangke', 'media', 'media', 'penghianat', 'bangsa', 'fck', 'peliharaan', 'joss', 'coros', 'bangke', 'harus', 'musnahkan', 'om', 'ben']",emg bangke media media penghianat bangsa fck pelihara joss coros bangke harus musnah om ben
"Masalah nya om coba lihat yg di masyarakat bawah , apakah anda ambil data ini? , oleh sebab itu gorengan sangat mudah berefek",@liemkusumohadilukman5445,0,Negatif,Masalah nya om coba lihat yg di masyarakat bawah apakah anda ambil data ini oleh sebab itu gorengan sangat mudah berefek,masalah nya om coba lihat yg di masyarakat bawah apakah anda ambil data ini oleh sebab itu gorengan sangat mudah berefek,"['masalah', 'nya', 'om', 'coba', 'lihat', 'yg', 'di', 'masyarakat', 'bawah', 'apakah', 'anda', 'ambil', 'data', 'ini', 'oleh', 'sebab', 'itu', 'gorengan', 'sangat', 'mudah', 'berefek']","['masalah', 'nya', 'om', 'coba', 'lihat', 'yg', 'masyarakat', 'bawah', 'apakah', 'anda', 'ambil', 'data', 'oleh', 'sebab', 'gorengan', 'sangat', 'mudah', 'berefek']",masalah nya om coba lihat yg masyarakat bawah apakah anda ambil data oleh sebab goreng sangat mudah efek
"Saatnya pemain lokal serok, saat asing kabur",@IswandaId,1,Netral,Saatnya pemain lokal serok saat asing kabur,saatnya pemain lokal serok saat asing kabur,"['saatnya', 'pemain', 'lokal', 'serok', 'saat', 'asing', 'kabur']","['saatnya', 'pemain', 'lokal', 'serok', 'saat', 'asing', 'kabur']",saat main lokal serok saat asing kabur
"Negara Indonesia itu pemerintah ny perampok maling 2koroptor smua 
Lambat laun Indonesia pasti bubar tinggal menunggu waktu saja 😁😁😁",@Kusnadi-z6i8y,0,Netral,Negara Indonesia itu pemerintah ny perampok maling koroptor smua Lambat laun Indonesia pasti bubar tinggal menunggu waktu saja,negara indonesia itu pemerintah ny perampok maling koroptor smua lambat laun indonesia pasti bubar tinggal menunggu waktu saja,"['negara', 'indonesia', 'itu', 'pemerintah', 'ny', 'perampok', 'maling', 'koroptor', 'smua', 'lambat', 'laun', 'indonesia', 'pasti', 'bubar', 'tinggal', 'menunggu', 'waktu', 'saja']","['negara', 'indonesia', 'pemerintah', 'ny', 'perampok', 'maling', 'koroptor', 'smua', 'lambat', 'laun', 'indonesia', 'pasti', 'bubar', 'tinggal', 'menunggu', 'waktu', 'saja']",negara indonesia perintah ny rampok maling koroptor smua lambat laun indonesia pasti bubar tinggal tunggu waktu saja
Geli denger anjing² peliharaan jos soros.. pengamat cap kaki 5..,@diyantara5036,0,Netral,Geli denger anjing peliharaan jos soros pengamat cap kaki,geli denger anjing peliharaan jos soros pengamat cap kaki,"['geli', 'denger', 'anjing', 'peliharaan', 'jos', 'soros', 'pengamat', 'cap', 'kaki']","['geli', 'denger', 'anjing', 'peliharaan', 'jos', 'soros', 'pengamat', 'cap', 'kaki']",geli denger anjing pelihara jos soros amat cap kaki
"Something wrong with media indonesia, hrs diatur sama pemerintah biar gak memberitakan hal2 yg hoax dan gak bener, minimal ada sanksi buat persh nya",@sakas9653,0,Netral,Something wrong with media indonesia hrs diatur sama pemerintah biar gak memberitakan hal yg hoax dan gak bener minimal ada sanksi buat persh nya,something wrong with media indonesia hrs diatur sama pemerintah biar gak memberitakan hal yg hoax dan gak bener minimal ada sanksi buat persh nya,"['something', 'wrong', 'with', 'media', 'indonesia', 'hrs', 'diatur', 'sama', 'pemerintah', 'biar', 'gak', 'memberitakan', 'hal', 'yg', 'hoax', 'dan', 'gak', 'bener', 'minimal', 'ada', 'sanksi', 'buat', 'persh', 'nya']","['something', 'wrong', 'with', 'media', 'indonesia', 'hrs', 'diatur', 'sama', 'pemerintah', 'biar', 'gak', 'memberitakan', 'hal', 'yg', 'hoax', 'gak', 'bener', 'minimal', 'ada', 'sanksi', 'buat', 'persh', 'nya']",something wrong with media indonesia hrs atur sama perintah biar gak berita hal yg hoax gak bener minimal ada sanksi buat persh nya
"Investor juga manusia,punya rasa punya hati,jangan samakan dengan,,,pisau belati",@singgihFD-i3q,0,Netral,Investor juga manusiapunya rasa punya hatijangan samakan denganpisau belati,investor juga manusiapunya rasa punya hatijangan samakan denganpisau belati,"['investor', 'juga', 'manusiapunya', 'rasa', 'punya', 'hatijangan', 'samakan', 'denganpisau', 'belati']","['investor', 'manusiapunya', 'rasa', 'punya', 'hatijangan', 'samakan', 'denganpisau', 'belati']",investor manusiapunya rasa punya hatijangan sama denganpisau belati
Masa sih gak ada pasal² pidana untuk menuntut pertanggungjawaban media yang menyebar berita bohong seperti itu??? Selemah itukah hukum kita???,@bitethebullet2,0,Negatif,Masa sih gak ada pasal pidana untuk menuntut pertanggungjawaban media yang menyebar berita bohong seperti itu Selemah itukah hukum kita,masa sih gak ada pasal pidana untuk menuntut pertanggungjawaban media yang menyebar berita bohong seperti itu selemah itukah hukum kita,"['masa', 'sih', 'gak', 'ada', 'pasal', 'pidana', 'untuk', 'menuntut', 'pertanggungjawaban', 'media', 'yang', 'menyebar', 'berita', 'bohong', 'seperti', 'itu', 'selemah', 'itukah', 'hukum', 'kita']","['masa', 'sih', 'gak', 'ada', 'pasal', 'pidana', 'menuntut', 'pertanggungjawaban', 'media', 'menyebar', 'berita', 'bohong', 'seperti', 'selemah', 'itukah', 'hukum']",masa sih gak ada pasal pidana tuntut pertanggungjawaban media sebar berita bohong seperti lemah itu hukum
Loker jasi buzzer dong. Pls,@rakyatbiasa837,1,Netral,Loker jasi buzzer dong Pls,loker jasi buzzer dong pls,"['loker', 'jasi', 'buzzer', 'dong', 'pls']","['loker', 'jasi', 'buzzer', 'dong', 'pls']",loker jas buzzer dong pls
Om.. Ditunggu live nyaa... 😂,@KhafitriLestari,0,Netral,Om Ditunggu live nyaa,om ditunggu live nyaa,"['om', 'ditunggu', 'live', 'nyaa']","['om', 'ditunggu', 'live', 'nyaa']",om tunggu live nyaa
Terlalu besar negara ini ke frontier market,@sf2gaming763,0,Netral,Terlalu besar negara ini ke frontier market,terlalu besar negara ini ke frontier market,"['terlalu', 'besar', 'negara', 'ini', 'ke', 'frontier', 'market']","['terlalu', 'besar', 'negara', 'frontier', 'market']",terlalu besar negara frontier market
"Premanisme begal, korupsi, nepotisme dan kolusi bang 😢😢😢 belum lagi banyak politik identitas agama yang bikin tidak kondusif",@ejs7861,0,Negatif,Premanisme begal korupsi nepotisme dan kolusi bang belum lagi banyak politik identitas agama yang bikin tidak kondusif,premanisme begal korupsi nepotisme dan kolusi bang belum lagi banyak politik identitas agama yang bikin tidak kondusif,"['premanisme', 'begal', 'korupsi', 'nepotisme', 'dan', 'kolusi', 'bang', 'belum', 'lagi', 'banyak', 'politik', 'identitas', 'agama', 'yang', 'bikin', 'tidak', 'kondusif']","['premanisme', 'begal', 'korupsi', 'nepotisme', 'kolusi', 'bang', 'belum', 'lagi', 'banyak', 'politik', 'identitas', 'agama', 'bikin', 'tidak', 'kondusif']",preman begal korupsi nepotisme kolusi bang belum lagi banyak politik identitas agama bikin tidak kondusif
"Memurut saya berhentilah menyalah kan  Singapur, si soros. Klo bukan karena org di pemerintahan berkhianat kepada bangsa bisa apa mereka. Coba hukum mati koruptor n miskinkan , cabut izin perusahaan yg merugikan negara. Jangan wajah jelek cermin di belah.",@me-n-mychannel,0,Negatif,Memurut saya berhentilah menyalah kan Singapur si soros Klo bukan karena org di pemerintahan berkhianat kepada bangsa bisa apa mereka Coba hukum mati koruptor n miskinkan cabut izin perusahaan yg merugikan negara Jangan wajah jelek cermin di belah,memurut saya berhentilah menyalah kan singapur si soros klo bukan karena org di pemerintahan berkhianat kepada bangsa bisa apa mereka coba hukum mati koruptor n miskinkan cabut izin perusahaan yg merugikan negara jangan wajah jelek cermin di belah,"['memurut', 'saya', 'berhentilah', 'menyalah', 'kan', 'singapur', 'si', 'soros', 'klo', 'bukan', 'karena', 'org', 'di', 'pemerintahan', 'berkhianat', 'kepada', 'bangsa', 'bisa', 'apa', 'mereka', 'coba', 'hukum', 'mati', 'koruptor', 'n', 'miskinkan', 'cabut', 'izin', 'perusahaan', 'yg', 'merugikan', 'negara', 'jangan', 'wajah', 'jelek', 'cermin', 'di', 'belah']","['memurut', 'berhentilah', 'menyalah', 'kan', 'singapur', 'si', 'soros', 'klo', 'bukan', 'org', 'pemerintahan', 'berkhianat', 'kepada', 'bangsa', 'bisa', 'apa', 'mereka', 'coba', 'hukum', 'mati', 'koruptor', 'n', 'miskinkan', 'cabut', 'izin', 'perusahaan', 'yg', 'merugikan', 'negara', 'jangan', 'wajah', 'jelek', 'cermin', 'belah']",purut henti salah kan singapur si soros klo bukan org perintah khianat kepada bangsa bisa apa mereka coba hukum mati koruptor n miskin cabut izin usaha yg rugi negara jangan wajah jelek cermin belah
"SALAH INFORMASI bukan hanya terjadi disektor pasar modal tapi SELURUH SEKTOR bahkan Undang Undang Dasar juga NGIBUL.
Sejauh ini yang Ane LIHAT situs situs PLAT MERAH menghalangi DATA ASLI dimasukin dan mempromosikan PEMALSUAN DATA ke pihak swasta. 
Jika DATA ASLI dimasukin ke JARINGAN akan BENTROK dengan DATA PALSU yang dimasukin sejak tahun 1940. 
Indonesia BERDIRI tanggal 17 Agustus 1945 tapi ROEPIAH lebih awal 5 tahun.",@ridhoabud9216,0,Netral,SALAH INFORMASI bukan hanya terjadi disektor pasar modal tapi SELURUH SEKTOR bahkan Undang Undang Dasar juga NGIBUL Sejauh ini yang Ane LIHAT situs situs PLAT MERAH menghalangi DATA ASLI dimasukin dan mempromosikan PEMALSUAN DATA ke pihak swasta Jika DATA ASLI dimasukin ke JARINGAN akan BENTROK dengan DATA PALSU yang dimasukin sejak tahun Indonesia BERDIRI tanggal Agustus tapi ROEPIAH lebih awal tahun,salah informasi bukan hanya terjadi disektor pasar modal tapi seluruh sektor bahkan undang undang dasar juga ngibul sejauh ini yang ane lihat situs situs plat merah menghalangi data asli dimasukin dan mempromosikan pemalsuan data ke pihak swasta jika data asli dimasukin ke jaringan akan bentrok dengan data palsu yang dimasukin sejak tahun indonesia berdiri tanggal agustus tapi roepiah lebih awal tahun,"['salah', 'informasi', 'bukan', 'hanya', 'terjadi', 'disektor', 'pasar', 'modal', 'tapi', 'seluruh', 'sektor', 'bahkan', 'undang', 'undang', 'dasar', 'juga', 'ngibul', 'sejauh', 'ini', 'yang', 'ane', 'lihat', 'situs', 'situs', 'plat', 'merah', 'menghalangi', 'data', 'asli', 'dimasukin', 'dan', 'mempromosikan', 'pemalsuan', 'data', 'ke', 'pihak', 'swasta', 'jika', 'data', 'asli', 'dimasukin', 'ke', 'jaringan', 'akan', 'bentrok', 'dengan', 'data', 'palsu', 'yang', 'dimasukin', 'sejak', 'tahun', 'indonesia', 'berdiri', 'tanggal', 'agustus', 'tapi', 'roepiah', 'lebih', 'awal', 'tahun']","['salah', 'informasi', 'bukan', 'hanya', 'terjadi', 'disektor', 'pasar', 'modal', 'tapi', 'seluruh', 'sektor', 'bahkan', 'undang', 'undang', 'dasar', 'ngibul', 'sejauh', 'ane', 'lihat', 'situs', 'situs', 'plat', 'merah', 'menghalangi', 'data', 'asli', 'dimasukin', 'mempromosikan', 'pemalsuan', 'data', 'pihak', 'swasta', 'jika', 'data', 'asli', 'dimasukin', 'jaringan', 'akan', 'bentrok', 'data', 'palsu', 'dimasukin', 'sejak', 'tahun', 'indonesia', 'berdiri', 'tanggal', 'agustus', 'tapi', 'roepiah', 'lebih', 'awal', 'tahun']",salah informasi bukan hanya jadi sektor pasar modal tapi seluruh sektor bahkan undang undang dasar ngibul jauh ane lihat situs situs plat merah halang data asli dimasukin promosi palsu data pihak swasta jika data asli dimasukin jaring akan bentrok data palsu dimasukin sejak tahun indonesia diri tanggal agustus tapi roepiah lebih awal tahun
0:44,@syifaaathirah937,0,Netral,,,[],[],
Bangsa sendri buat hal malah salahin negara lain😂kalau macam ni la sampai ke mati xmaju2😂bangsa mu mudah percaya dan suka nyajong sujud org2 atas dan kaya😂,@faizalislam5935,0,Netral,Bangsa sendri buat hal malah salahin negara lainkalau macam ni la sampai ke mati xmajubangsa mu mudah percaya dan suka nyajong sujud org atas dan kaya,bangsa sendri buat hal malah salahin negara lainkalau macam ni la sampai ke mati xmajubangsa mu mudah percaya dan suka nyajong sujud org atas dan kaya,"['bangsa', 'sendri', 'buat', 'hal', 'malah', 'salahin', 'negara', 'lainkalau', 'macam', 'ni', 'la', 'sampai', 'ke', 'mati', 'xmajubangsa', 'mu', 'mudah', 'percaya', 'dan', 'suka', 'nyajong', 'sujud', 'org', 'atas', 'dan', 'kaya']","['bangsa', 'sendri', 'buat', 'hal', 'malah', 'salahin', 'negara', 'lainkalau', 'macam', 'ni', 'la', 'sampai', 'mati', 'xmajubangsa', 'mu', 'mudah', 'percaya', 'suka', 'nyajong', 'sujud', 'org', 'atas', 'kaya']",bangsa sendri buat hal malah salahin negara lainkalau macam ni la sampai mati xmajubangsa mu mudah percaya suka nyajong sujud org atas kaya
"Jujur mau tanya, bisa gak sih perintah bubarkan media tempo ato cabut izinnya",@Miari_Kalteng,0,Netral,Jujur mau tanya bisa gak sih perintah bubarkan media tempo ato cabut izinnya,jujur mau tanya bisa gak sih perintah bubarkan media tempo ato cabut izinnya,"['jujur', 'mau', 'tanya', 'bisa', 'gak', 'sih', 'perintah', 'bubarkan', 'media', 'tempo', 'ato', 'cabut', 'izinnya']","['jujur', 'mau', 'tanya', 'bisa', 'gak', 'sih', 'perintah', 'bubarkan', 'media', 'tempo', 'ato', 'cabut', 'izinnya']",jujur mau tanya bisa gak sih perintah bubar media tempo ato cabut izin
SIKAT PENGKHIANAT2  BANGSA INI.... MEREKALAH PERUSUH DINEGARA INI,@herusi3210,0,Netral,SIKAT PENGKHIANAT BANGSA INI MEREKALAH PERUSUH DINEGARA INI,sikat pengkhianat bangsa ini merekalah perusuh dinegara ini,"['sikat', 'pengkhianat', 'bangsa', 'ini', 'merekalah', 'perusuh', 'dinegara', 'ini']","['sikat', 'pengkhianat', 'bangsa', 'merekalah', 'perusuh', 'dinegara']",sikat khianat bangsa mereka rusuh negara
"Eh bennix buat malu orang Batak kau, enteng banget kau bilang rupiah melemah itu bagus menuju negara maju eh marga apa kau bujang",@jokercard4989,0,Positif,Eh bennix buat malu orang Batak kau enteng banget kau bilang rupiah melemah itu bagus menuju negara maju eh marga apa kau bujang,eh bennix buat malu orang batak kau enteng banget kau bilang rupiah melemah itu bagus menuju negara maju eh marga apa kau bujang,"['eh', 'bennix', 'buat', 'malu', 'orang', 'batak', 'kau', 'enteng', 'banget', 'kau', 'bilang', 'rupiah', 'melemah', 'itu', 'bagus', 'menuju', 'negara', 'maju', 'eh', 'marga', 'apa', 'kau', 'bujang']","['eh', 'bennix', 'buat', 'malu', 'orang', 'batak', 'kau', 'enteng', 'banget', 'kau', 'bilang', 'rupiah', 'melemah', 'bagus', 'menuju', 'negara', 'maju', 'eh', 'marga', 'apa', 'kau', 'bujang']",eh bennix buat malu orang batak kau enteng banget kau bilang rupiah lemah bagus tuju negara maju eh marga apa kau bujang
"TRIMAKASIH ATAS PENCERAHANNYA BENNI.... 
MANTAP DATA DAN ULASAN LHO... 
SUCCES FOR YOU...",@herusi3210,0,Positif,TRIMAKASIH ATAS PENCERAHANNYA BENNI MANTAP DATA DAN ULASAN LHO SUCCES FOR YOU,trimakasih atas pencerahannya benni mantap data dan ulasan lho succes for you,"['trimakasih', 'atas', 'pencerahannya', 'benni', 'mantap', 'data', 'dan', 'ulasan', 'lho', 'succes', 'for', 'you']","['trimakasih', 'atas', 'pencerahannya', 'benni', 'mantap', 'data', 'ulasan', 'lho', 'succes', 'for', 'you']",trimakasih atas cerah benni mantap data ulas lho succes for you
Sampai dijelasin kayak anak bayi begini om wkwkwkwk,@nathan9760,0,Netral,Sampai dijelasin kayak anak bayi begini om wkwkwkwk,sampai dijelasin kayak anak bayi begini om wkwkwkwk,"['sampai', 'dijelasin', 'kayak', 'anak', 'bayi', 'begini', 'om', 'wkwkwkwk']","['sampai', 'dijelasin', 'kayak', 'anak', 'bayi', 'begini', 'om', 'wkwkwkwk']",sampai dijelasin kayak anak bayi begini om wkwkwkwk
"Ada dana ratusan milyaar cair yuan dan sing dollar 25juta
.udh masuk indonesia..siap invest saham indonesia. Sisa untung 500milyar tunai blm dipakai..400m udh invest. Rugi 12 roll royce phantom since januari",@agungutama2613,0,Netral,Ada dana ratusan milyaar cair yuan dan sing dollar juta udh masuk indonesiasiap invest saham indonesia Sisa untung milyar tunai blm dipakaim udh invest Rugi roll royce phantom since januari,ada dana ratusan milyaar cair yuan dan sing dollar juta udh masuk indonesiasiap invest saham indonesia sisa untung milyar tunai blm dipakaim udh invest rugi roll royce phantom since januari,"['ada', 'dana', 'ratusan', 'milyaar', 'cair', 'yuan', 'dan', 'sing', 'dollar', 'juta', 'udh', 'masuk', 'indonesiasiap', 'invest', 'saham', 'indonesia', 'sisa', 'untung', 'milyar', 'tunai', 'blm', 'dipakaim', 'udh', 'invest', 'rugi', 'roll', 'royce', 'phantom', 'since', 'januari']","['ada', 'dana', 'ratusan', 'milyaar', 'cair', 'yuan', 'sing', 'dollar', 'juta', 'udh', 'masuk', 'indonesiasiap', 'invest', 'saham', 'indonesia', 'sisa', 'untung', 'milyar', 'tunai', 'blm', 'dipakaim', 'udh', 'invest', 'rugi', 'roll', 'royce', 'phantom', 'since', 'januari']",ada dana ratus milyaar cair yuan sing dollar juta udh masuk indonesiasiap invest saham indonesia sisa untung milyar tunai blm dipakaim udh invest rugi roll royce phantom since januari
Boikot singapure,@makhfudifudi7956,0,Netral,Boikot singapure,boikot singapure,"['boikot', 'singapure']","['boikot', 'singapure']",boikot singapure
yang komentar indonesia gelap Konoha hancur fix iq gorilla,@Tejoo-v4e,0,Netral,yang komentar indonesia gelap Konoha hancur fix iq gorilla,yang komentar indonesia gelap konoha hancur fix iq gorilla,"['yang', 'komentar', 'indonesia', 'gelap', 'konoha', 'hancur', 'fix', 'iq', 'gorilla']","['komentar', 'indonesia', 'gelap', 'konoha', 'hancur', 'fix', 'iq', 'gorilla']",komentar indonesia gelap konoha hancur fix iq gorilla
"Mungkin kebanyakan orang pinter di negara ini kurang rasa nasionalis/cinta tanah air sehingga mudah di adu domba, cuci otak, disuap dan sejenisnya yg bikin negara sulit untuk maju",@BagoesDahono,1,Netral,Mungkin kebanyakan orang pinter di negara ini kurang rasa nasionaliscinta tanah air sehingga mudah di adu domba cuci otak disuap dan sejenisnya yg bikin negara sulit untuk maju,mungkin kebanyakan orang pinter di negara ini kurang rasa nasionaliscinta tanah air sehingga mudah di adu domba cuci otak disuap dan sejenisnya yg bikin negara sulit untuk maju,"['mungkin', 'kebanyakan', 'orang', 'pinter', 'di', 'negara', 'ini', 'kurang', 'rasa', 'nasionaliscinta', 'tanah', 'air', 'sehingga', 'mudah', 'di', 'adu', 'domba', 'cuci', 'otak', 'disuap', 'dan', 'sejenisnya', 'yg', 'bikin', 'negara', 'sulit', 'untuk', 'maju']","['mungkin', 'kebanyakan', 'orang', 'pinter', 'negara', 'kurang', 'rasa', 'nasionaliscinta', 'tanah', 'air', 'sehingga', 'mudah', 'adu', 'domba', 'cuci', 'otak', 'disuap', 'sejenisnya', 'yg', 'bikin', 'negara', 'sulit', 'maju']",mungkin banyak orang pinter negara kurang rasa nasionaliscinta tanah air sehingga mudah adu domba cuci otak suap jenis yg bikin negara sulit maju
