Komentar,Username,Like,Sentimen
Soros diomongin kl gonggong soal mending tarik aja dolar sebanyak mungkin tarik anjing soros tapi masih di kandang....hemmm....,@TessiStroberi,0,Netral
Masalahnya lu juga enggak bisa ngatur pasar di luar.....enggak bisa kendaliin MSCI....iya belum tapi tanda tanda...😢😢😢😂😂😂😂,@TessiStroberi,0,Negatif
"21:51 kenapa media menjatuhkan terus? 
Karena mereka mencari viewer dari situ lah mereka dapat cuan nya 😮
Contoh saja influenz konten kreator kalau mereka menjelekkan menjatuhkan pemerintahan dan menjelekkan Indonesia pasti view nya tinggi di tambah iq viewer nya IQ gorila 🦍🦍",@haidirfajri6623,0,Negatif
kalo kata2 MSCI menentukan kiamatnya sebuah negara.. kasian Paman Sam ga dianggep..,@Supralog_GTM,0,Netral
Top3 dibawah jepang? Dan China?,@INyomanMulatiyasa,0,Netral
"media meraka kan di dorong sama oligarki wajar lah satu komando , monyet emang tu anjing anjing",@fortunecookies99,0,Netral
Indonesia baik2 z,@RascelNurharvanti,0,Positif
"Media ecek2 Indonesia kebanyakan nyebar berita negatif, cuma bennix yg sesuai dengan fakta, dari pandangan investasi,,, media mainstream Indonesia kebanyakan hoax",@MudaRejosariofficial,0,Netral
"#IMF #MSCI #Tempo #StraitsTime #Soros and the gank go to the hell
Gua ga butuh validasi Luh....
#BubarkanUI
#BubarkanUGM
#SellSingapore
#MiskinkanSingapura
#SyiahBukanIslam
#TangkapPaketC",@vedriant5013,0,Netral
Masalah nya media indonesia sudah dibayar oleh asing semua  media asing khusus dibayar memang untuk menghacurkan negara yg mau maju,@bambangkosasih8498,0,Negatif
Prof gema juga,@haidirfajri6623,0,Netral
Buktinya mereka tidak mau membahas LGBT di lingkungan kampus influence dan konten kreator tidak membahas juga,@haidirfajri6623,0,Netral
Saat nya serik guys... 😅,@liungsiwang1295,0,Netral
"OJK, BEI lakukan tugas kalian dengan benar, jgn kalian malah jadi benalu bagi kemajuan bursa RI....",@CongorNaga-y8s,0,Netral
Kembalikan KODE BROKER saat jam trading !!!,@titozh1296,0,Netral
Influencer cendol itu kalau kurang followers ya nyerang pemerintah + bikin hoax😅.,@Singgih_Chan16,0,Netral
"#SETUJUINDONESIALEBIHKUAT
RAKYAT YANG CERDAS SADAR MENDUKUNG PROGRAM PRESIDEN PRABOWO UNTUK KEMANDIRIAN DAN KEDAULATAN INDONESIA TERCINTA ♥️♥️♥️♥️♥️♥️♥️♥️♥️",@hsnchannel8005,0,Positif
jelas bennix independen. video ini buktinya wkwkwk mantap,@miracle3897,0,Positif
"Terimakasih bang ben, jadi nambah wawasan.....",@nkf_4636,0,Netral
Sell singapura blok goblok jangan beli produk produk diya ajing,@antonardiansyah457,0,Netral
"POLA SERANGAN EKONOMI SAAT INI SANGAT MIRIP DENGAN 1998 saat SUHARTO mencoba dekat dengan RUSIA. Kalian pada melek gak sih para pengkhianat negara??? LONDO IRENG

kalian yg demo bangga kalian jadi PENGKHIANT BANGSA?? musuh indonesia banyak, OLIGARKI jaman jokodog sedang bermain dari singapura, amerika, malaysia dll tidak suka INDONESIA MAJU .. ekspor 1 pintu hanya 1 gerbang menuju kemerdekaan sesungguhnya. KENAPA OLIGARKI & NEGARA LAIN pada panik??? berarti memang ada yg salah selama ini.

(1) Soal IHSG, kalian yang belum pada tau soal #SELLSINGAPORE #SELLINDONESIA?? tonton yang banyak videonya. 
(2) Soal Rupiah, anggota BRICS lain kek India juga lagi dikerjain secara ekonomi sama Amrik. bedanya org India pinter, chill & persatuan kuat. 
(3) Soal orang pada benci pemerintah, kalian udah tau duit Soros Yahudi udah banyak masuk ke Kampus, Media, Influencer & buzzer perorangan untuk diarahkan pada benci negara & pemerintah??  belum OLIGARKI jokodog yg pelihara buzzer.
(4) Soal MBG. China, Jepang bahkan Amrik punya MBG versi mereka. Ok kita belum sempurna. sabar. tuh yang korup juga pada ditangkap.

Gw lebih baik jadi buzzer negara tanpa dibayar, daripada jadi buzzer PENGKHIANAT BANGSA demi sesuap makanan. Negara udah di track yang benar mau kelola SDA sendiri makanya pada ngamuk sama PRABOWO. tak ada negara yang mau indonesia maju apalagi Singapura, Malaysia, Amrik dll . MEREKA GAK PENGEN INDONESIA MAJU.

pelaku korupsi juga ditangkap tanpa pandang itu kawan politik, demo juga silahkan, diskusi kampus dibiarkan. kalau jaman JOKODOG apa bisa??  MIKIRR",@wezelahardian455,0,Netral
Orang bule mental nya ga akan berubah mereka mental penjajah mereka mau kita bodoh terus dan takut kepada mereka..Jangan percaya ocehan mereka..,@jacksparrow-fb1gc,0,Netral
"#SELL SINGAPURA...!  DASAR BUDAK OLIGARKI ..GEORGE  SOROS  ..IMF ..PENGKHIANAT BANGSA ..PORF .BAYARAN..DOSEN BAYARAN..MEDIA BAYARAN..MAHASEWA BAYARAN..DAN JANGAN LUPA JUGA  NEGARA  MUNAFIK..MALAYSIA.,SINGAPURA,.AUSTRALIA,.MEREKA TERUS MEMPROVOKASI  MEDIA DALAM NEGERI DAN JUGA INFLUINCER UNTUK MEMECAH BELAH BANGSA DAN NEGARA INDONESIA..JAYALAH NEGERIKU...❤❤",@anwarjayaabadi5679,0,Netral
Gia yakin ini ulah singapura sih emang harus nyerang indo,@NamaBaru-j8o,0,Netral
saya ketawa dengar TEMPO bacem...😂😂  Ema g tempe kecutt,@billymanna4245,0,Netral
Om ben. Hitungan yg bener asing cabut 850T ya??,@ummuyahya1253,0,Netral
Semoga #IndonesiaMandiri,@herryaprillio9210,0,Netral
Msci ingin indonesia bangkrut dan banyak terjadi demo dan pengrusakan..hoax itu sebagai celah untuk membangkrutkan Indonesia lewat banyaknya demo yg di provokasi dan di biayai asing.,@NonoSupriatno-s1o,0,Netral
"Tpi kenapa ya narasi ekonomi indo tuh sama media2 dibikinnya pesimis mulu. 

Ekonomi kan dipengaruhi juga sama psikologi massa. Apakah mereka sengaja?",@_RickySetiawan,0,Netral
Tetap semangat bang❤❤❤❤❤,@gitorocklis,0,Netral
intinya merdeka dari IMPOR ENERGI. target itu dulu yang harus di capai,@Pejuangrejekireceh321,0,Netral
Negara asia ke 2 singapur ya?,@aisyahidamanz1031,0,Netral
Indonesia cuma kalah sama china dan Malaysia,@ahmadhuri2374,0,Netral
"negara sendiri mau  maju malah gak mau, aneh media tmpe bacem tuh",@AbuSufyan-u6y,0,Netral
"Top 3
1. China
2. Malaysia
3. Indonesia.",@sugengriyono2739,0,Netral
Lebih utama direct investment daripada bursa saham.,@pran20000,0,Netral
"Karena yang nyebarkan hoax  itu sakit jiwa kebanyakan makan uang fee,pungli dan uang korup",@BilmerSianipar,0,Netral
menuju korsel dan india gelap!,@bersinarterang1170,0,Netral
"Yang korupsi besar kepala mbg
Yang naikin pajak mentri nya sendiri
Yang mark-up pembangunan kdmp tim mereka sendiri
Yang mark-up motor listrik mereka sendiri
Yang bikin inflasi tim mereka sendiri
Ketika ada crash yg disalahin soros😂",@musthofahilmi4779,1,Negatif
"buy the rumour, sell the news",@bersinarterang1170,0,Netral
Indonesia Jaya Jaya Jaya Aamiin Aamiin Aamiin YRA,@anjaastriamareto3107,1,Netral
Pertanyaan nya MSCI ini netral apa ngga sebenarnya,@serokdanterusserok,0,Netral
"terima kasih bang bennix sudah bantu menjelaskan kepada orang-orang yang senang melihat dan sering tebar fear soal IHSG turun ke frontier market, tiap kali MSCI mau umumkan informasi terkait IHSG pasti muncul lg narasi soal frontier market dari influenser-influenser yang gak punya otak itu",@mentaristudioanime,0,Positif
Sell Singapura,@ahmadrifai3386,0,Netral
Korea chaebolnya terlalu ikut campur perusahaannya lewat hantu cara yang ngga terlalu di sukai investor asing,@Decnalab92,0,Netral
"Perusahaan rampok capcay kaki lima (kakinya roda bekarat semua) menn. Karyawan seitung jari, kantor sewa kios. Lolos ipo.",@YufaAlphaSolution,0,Netral
"saya cuma mau bilang, antek antek ngisiiiiinnnngggg,",@tubagussujana2835,0,Netral
Ngakakk sepanjang nonton ini 😂 suka bet vibes maki”nya 😅,@ibnuhusaintraveler9678,0,Netral
Ternyata MSCI lembaga pesanan!,@suryantoa.n1003,0,Netral
Kak benix...aku sekarang ke Singapur jiji bangt berapa taun kekayaan indonesia di makan trus Ama anjing2 Singapur,@RezvanDhefin,1,Netral
Singapur gak bisa ngemis lagi kemarin duduk manis dapet cuan dari indonesia...sekarang Singapur sel kan..,@RezvanDhefin,0,Netral
"Demo2 yg mempengaruhi pra mahasiswa ,emang elit2 politik yg haus kekuasaan,yg pengenya Indonesia jdi negara berkembang terus",@UsenSen-x7x6o,0,Netral
Lanjutkan ja program 1 pintu ekspor danantara...pasti singapura ekonominya ambruk....,@KandarKandar-m9q,0,Netral
"Dulu pas Napoleon lawan Inggris, tuan besar berbohong dengan bilang ""Inggris kalah perang"" akhirnya saham2 Inggris nyungsep dan langsung diserok semua sama tuan besar. Begitu publik tau kabar itu hoax, saham2 Inggris langsung naik semua, tuan besar cuan besar.

Saya melihat kejadian serupa di Indonesia ini, tuan besar bikin berita2 gk enak biar investor kabur yang bikin IHSG ngungsep. Terus pas sudah ngungsep tuan besar langsung serok semuanya. Begitu publik tau berita2 itu ternyata hoax atau kurang benar, IHSG bakal naik. Tuan besar cuan besar, lagi.",@Johuri,0,Negatif
"Mantap kang. kasih paham itu  anjing"" jonsoros. NKRI HARGA MATI💪👍",@riyanfadil76,0,Positif
"josjizzz,mantab",@aduhanip5611,0,Netral
"Insvestor kabur ya kabur saja yang penting ptogram pemerintah berjalan
Suatu saat mereka akan datang karena semua yang dibutuhkan mereka ada di negara kita",@lumbaapalulun781,4,Netral
Mereka ingin harga diskon para aseeng ingin serook di dasar... bosen gw denger berita2 negatif . Semangat terus indonesia ku,@ardhithenextkains,0,Netral
"Ooo maksudnya ada satu aspek dari penilaian yang nilainya itu jelek, tp secara keseluruhan sebenernya indo masih bagus. Tapi media fokus ke aspek jeleknya itu yang diberitakan dan menarik kesimpulan sendiri",@muasisulbais8088,0,Netral
"orang pinter,, main saham S&P 500 , Kospi, Hang Seng, Nikkei.. goodbye IHSG",@henny767,0,Netral
"Ya memang Indonesia gelap, sering mati lampu 😂 PLN",@RajaQing,0,Netral
Sayang gak semua org indonesia mau mendengarkan berita dr beberapa sumber,@OmTri,0,Netral
Pokokny Indonesia HARUS MISKINKAN SINGAPURA,@VirginPetCare,0,Netral
"Dari zaman VOC smp now mana pernah investor lari Dari Indo, guoblokkkkkk.....Indo terlalu Manis Pea, Otak Sarden!!! Bikin Review Koplak ....",@benhotrek,0,Netral
"Ko sekarang banyak yang gencar gencarin Indonesia ya? Dari mulai blomberg yang bilang prabowo menjabat di Indonesia ga ada Impact, makin yakin Indonesia di pandang remeh sama org luar",@Rireng1140,1,Netral
"Karena indonesia tidak bisa diatur asing dan soroa.
Indonesia nutup kran kran mafia. Hilirisasi, stop beberapa komoditas import, stop export murah.
Semua kalang kabut karena strategis indonesia yg gak bisa diatur.",@genshambudiharjo4088,0,Netral
15:23 terimakasih ilmunya om,@Anna-lg1bj,0,Netral
Semoga Tuhan Allah SWT menjaga Indonesia dan seluruh tumpah darah Indonesia. Dan menyadarkan anjing anjing soros ke jalan benar.,@Sukaryo-q9f,0,Netral
paling mantab kalo sudah ada kata2 mutiara: anjing-anjing joj soros...,@awanmegamendung8338,0,Netral
Sebenarnya tidak ada yang ngamuk2 di Indonesia ini rakyat pada bodo amat tapi yang brisik itu para perampok di Indonesia yang tidak senang karena mereka di ambang kehancuran,@EdoIrawan-m3y,2,Positif
Bodoamat lahhh sekarang  😂😂😂 gw masuk kuartal 1 aja lahh,@endrodimas669,0,Netral
"harus nya menhan pegang keamanan media indonesia.
bukan bikin komdigimon ngelawak sepanjang taon seperti saat ini.
sampe detik ini , komen2 iklan judol masih banyak di yutub.
harus nya bikin devisi khusus buat berantas para buzzer , media2 yg bikin hoax dan judol. (perang gak harus maen fisik boss)",@penonton4260,0,Netral
"Skarang kacah semu. 
Media kacau
Mahasiswa nya juga kacau

Hah genz bikin resah",@BarokahIlahi-n7q,1,Netral
Bagus ni Chanel banix dia memberikan informasi yg mencerdaskan masarakat.......memang negara kita tidak mau jadi maju...,@InFinix-v2v4o,1,Positif
"Alhamdulillah,,",@wahidinsolihin5468,0,Netral
"Orang Indonesia sendiri yang korup, jadi mafia dan menjelekkan bangsanya sendiri, di tambah keterlibatan negara luar, komplit dah, makanya tugas pemerintahan sekarang lebih berat karena mau bersihin tapi di lawan habis-habisan",@HidupSehat-LahirdanBathin,1,Negatif
Rakyat kita udah zaman canggih pun masih banyak yang goblok lagi mau diadu domba Woi rakyat Indonesia sekarang bukan zaman dulu sadar sikit kalian bukan zaman dulu yang gak boleh cari informasi sekarang udah zaman canggih Jadi buka mata Jangan goblok lagi mau diadu domba asing,@Jumadi-p7z,1,Netral
Jadi serok lagi aman ya om Ben 😅,@UCUPKU234,0,Netral
"tidak salah kalau mereka mendown grade rating bursa efek karena memang mereka harus berbenah,sebuah  bursa yang di akses para investor besar tidak punya transparansi yang baik. 
memang pengelola bursanya para mafia dan badjingan.😅",@Enzo_design,0,Positif
"Asing udah ga perlu ngobok2 Indonesia. Mereka cukup taruh 2 orang di ring 1 kekuasaan Prabowo buat update info, trus membiarkan Indonesia setiap hari menembak kaki ibu pertiwi.",@dying_taxpayer,0,Netral
"""Bennix kurang pengalaman!"" kata Bu Gema Goeyardi.",@felixsulwyn4997,1,Netral
"Kasih paham bang Bennix.. netizen sok tau tentang dunia saham..netizen yg sok tau, sok pinter, merasa paling paham dunia saham biar malu ilmunya masih cetek tapi sok2an komen..😅",@hendraefendi4169,0,Netral
"Trus kalau penilaian indonesia bagus, kenapa asing outflow 90T?

MSCI, media, siapapun boleh ngomong, tapi pergerakan uang gak pernah bohong.",@saidalmusayyyab,0,Netral
"Indonesia tetap pada emerging market krn probabilitinya lebih baik sekalipun dg pasar modal korsel, lihat daftar 18 cheking pointnya",@martinocarascalao9413,0,Positif
Brita seperti ini memberi idukasi positip GK ngawur kyak media lain lain isinya pasimis dgn negara sendiri pdhal pmerintah sudah berusaha yg terbaik,@NabilakhKh,0,Positif
Info penting nih.... Utk counter para pengkhianat bangsa,@rainbow_super,1,Netral
sell singapura,@gunadigunadi9476,0,Netral
"Maju terus Indonesiaku... Aku cinta Indonesia... ♥♥
Terima kasih infonya Om Bennix..",@irfanbudimanbarus7380,2,Netral
"Sbg rakyat yg hidup di daerah,kondisi ekonomi saat ini masih lancar2 aja walaupun hrg Pertamax naik,tiap hari krj masih dpt income lmyn ,dagang jg masih ok2 aja.",@SugengRiyadi-m5t,0,Netral
Kenapa tidak dari awal sudah bahas ini ya? Apa karena nggak boleh? Berita msci kan udah lumayan lama...,@Syam-d2o,0,Netral
"Mantap ini , sy suka ulasannya Krn obyektif",@haruniskandar8542,1,Positif
Buzzer2 Antek2 Koruptor Penghianat Bangsa dan Antek2 Asing masih banyak berkeliaran di Indonesia. Bongkar terus bang Bennix..,@parkwondo666,0,Netral
"Kocak lu.. 😂
Lu yang gak berpengalaman, Bu Gema Goeryadi yang lu maksud siapa..?
Setahu gua Bapak Gema Goeryadi, salah satu content creator finansial.",@apputuasiburian,0,Netral
"Karena institusi lebih memilih main aman dan mengikuti MSCI aja ya emang fungsinya itu. Pasar tuh memang gampang di arahin rumor ga guna. Contohnya aja kaya share rockstar yang jatuh lumayan dalam gara² ai ngebuat simulasi game yang mereka anggap itu dapat menjatuhkan industri game, tapi akhirnya itu cuma hoax aja",@seanrafabagass,0,Netral
Semoga Amerika Serikat dan Israel segera dihancurkan oleh Tuhan aamiin,@BujangRantau-t2x,0,Netral
"Emg bangke media media penghianat bangsa ini ,f*CK  . peliharaan Joss coros bangke harus di musnahkan om ben",@noerfofficial6875,0,Netral
"Masalah nya om coba lihat yg di masyarakat bawah , apakah anda ambil data ini? , oleh sebab itu gorengan sangat mudah berefek",@liemkusumohadilukman5445,0,Negatif
"Saatnya pemain lokal serok, saat asing kabur",@IswandaId,1,Netral
"Negara Indonesia itu pemerintah ny perampok maling 2koroptor smua 
Lambat laun Indonesia pasti bubar tinggal menunggu waktu saja 😁😁😁",@Kusnadi-z6i8y,0,Netral
Geli denger anjing² peliharaan jos soros.. pengamat cap kaki 5..,@diyantara5036,0,Netral
"Something wrong with media indonesia, hrs diatur sama pemerintah biar gak memberitakan hal2 yg hoax dan gak bener, minimal ada sanksi buat persh nya",@sakas9653,0,Netral
"Investor juga manusia,punya rasa punya hati,jangan samakan dengan,,,pisau belati",@singgihFD-i3q,0,Netral
Masa sih gak ada pasal² pidana untuk menuntut pertanggungjawaban media yang menyebar berita bohong seperti itu??? Selemah itukah hukum kita???,@bitethebullet2,0,Negatif
Loker jasi buzzer dong. Pls,@rakyatbiasa837,1,Netral
Om.. Ditunggu live nyaa... 😂,@KhafitriLestari,0,Netral
Terlalu besar negara ini ke frontier market,@sf2gaming763,0,Netral
"Premanisme begal, korupsi, nepotisme dan kolusi bang 😢😢😢 belum lagi banyak politik identitas agama yang bikin tidak kondusif",@ejs7861,0,Negatif
"Memurut saya berhentilah menyalah kan  Singapur, si soros. Klo bukan karena org di pemerintahan berkhianat kepada bangsa bisa apa mereka. Coba hukum mati koruptor n miskinkan , cabut izin perusahaan yg merugikan negara. Jangan wajah jelek cermin di belah.",@me-n-mychannel,0,Negatif
"SALAH INFORMASI bukan hanya terjadi disektor pasar modal tapi SELURUH SEKTOR bahkan Undang Undang Dasar juga NGIBUL.
Sejauh ini yang Ane LIHAT situs situs PLAT MERAH menghalangi DATA ASLI dimasukin dan mempromosikan PEMALSUAN DATA ke pihak swasta. 
Jika DATA ASLI dimasukin ke JARINGAN akan BENTROK dengan DATA PALSU yang dimasukin sejak tahun 1940. 
Indonesia BERDIRI tanggal 17 Agustus 1945 tapi ROEPIAH lebih awal 5 tahun.",@ridhoabud9216,0,Netral
0:44,@syifaaathirah937,0,Netral
Bangsa sendri buat hal malah salahin negara lain😂kalau macam ni la sampai ke mati xmaju2😂bangsa mu mudah percaya dan suka nyajong sujud org2 atas dan kaya😂,@faizalislam5935,0,Netral
"Jujur mau tanya, bisa gak sih perintah bubarkan media tempo ato cabut izinnya",@Miari_Kalteng,0,Netral
SIKAT PENGKHIANAT2  BANGSA INI.... MEREKALAH PERUSUH DINEGARA INI,@herusi3210,0,Netral
"Eh bennix buat malu orang Batak kau, enteng banget kau bilang rupiah melemah itu bagus menuju negara maju eh marga apa kau bujang",@jokercard4989,0,Positif
"TRIMAKASIH ATAS PENCERAHANNYA BENNI.... 
MANTAP DATA DAN ULASAN LHO... 
SUCCES FOR YOU...",@herusi3210,0,Positif
Sampai dijelasin kayak anak bayi begini om wkwkwkwk,@nathan9760,0,Netral
"Ada dana ratusan milyaar cair yuan dan sing dollar 25juta
.udh masuk indonesia..siap invest saham indonesia. Sisa untung 500milyar tunai blm dipakai..400m udh invest. Rugi 12 roll royce phantom since januari",@agungutama2613,0,Netral
Boikot singapure,@makhfudifudi7956,0,Netral
yang komentar indonesia gelap Konoha hancur fix iq gorilla,@Tejoo-v4e,0,Netral
"Mungkin kebanyakan orang pinter di negara ini kurang rasa nasionalis/cinta tanah air sehingga mudah di adu domba, cuci otak, disuap dan sejenisnya yg bikin negara sulit untuk maju",@BagoesDahono,1,Netral
"Aplikasi sarang MONYET banyak sekali akun orang THOLOL yang tiba tiba menjadi media dadakan ......
Narasi di buat pakai chat gpt,gambar di buat pakai chat gpt juga......
Target mereka fyp supaya cepat di Monet.....( Menurut isi otak mereka)

#jangkauanluas #salaminteraksi",@manganturutok,0,Netral
Belakangan banyak Hoax banyak demo2 aneh…,@pramandhawidyeswara9131,0,Netral
Makanya paling mls baca komen2 netijen bodoh gk faham gk ngerti tapi bacot doang. Bikin gaduh,@mylive9460,0,Netral
"Lu suka bikin HOAX tentang kebenaran yang bagus negara luar negara tetangga negara2 maju..Giliran tentang negara Indonesia yang hancur,terpuruk,gak bisa apa2 lu gak ngomong lu kata semuanya bagus2 aja yg terbaik aja..otak lu otak kosong",@KepalaRoti88,0,Positif
"Harus sadar ,yang suka hoaks

Keterbukaan itu untuk kebaikan ekonomi kita


Trima kasih 👍🏻
God Blees 🙏🏻",@lidyamramra3917,0,Positif
"Bang bahas mati lampu bergilir dong,kek nya seru🙏",@lea_umbrella88,0,Netral
semoga yg namanya jors Soros CPT hilang dari muka bumi... aamiin,@supriantomanto4449,0,Netral
"SIMPLE CARA NYA ... WAJIBKAN SEMUA EMITEN BERDIVIDEN MINIMAL 10% .... DENGAN SENDIRI NYA BERSIH TUH BURSA DARI SAHAM SAHAM GORENGAN ... EMITEN GORENGAN AKAN TIDAK BISA BERTAHAN DI BURSA KARENA SESUNGGUH NYA KEUANGAN MEREKA TIDAK ADA UNTUK MEMBAYAR DIVIDEN ..... TUJUAN NYA MEMANG CARI MODAL GRATISAN   

TANPA PERLU DIBERSIH KAN .... TANPA PERLU DIATUR ..... SYARAT NYA CUMA SATU .... WAJIBKAN DIVIDEN MINIMAL 10% ..... AUTO BEST OF THE BEST EMITEN EMITEN DI IHSG ...... KARENA EMITEN EMITEN YANG ENGGAK BISA PENUHI SYARAT NYA AUTO TERDEPAK DARI IHSG",@ARDI1980YANTO,0,Netral
bro besok 23 Juni Indo masuk frontier market yeahhhh baby... IHSG back to 4000,@andrewstephen6493,0,Netral
#sellsingapore,@aceprustandi8700,0,Netral
"Gilak... menambah wawasan berpikir.
Tengyu banget pak Bennix",@issai_Betmut,0,Netral
02:34 😂,@kupiahburuk4012,0,Netral
"Ben,...Bahas juga pelamahan nilai mata uang kita di seluaruh asiavtenggara kita yg paling banyak penurunan mata uang kita
Itu yg paling berasa buat kalangan menengah kebawah",@ruslanlisa1880,0,Netral
Budaya Orang2 Indonesia Sukah Ceding alias tidak Jujur Susah Mendapatkan Information yg Valid itu Masalanya 😂,@johnlonda5415,0,Netral
Udah gak sabar ngelihat banyak pengangguran di Indonesia,@AniYatisukaesihOppoA3sopi,0,Netral
Mantap bng mendidik sekali😊,@Rudi-tg1vs,0,Positif
"Bang Ben dulu punya saran buat pemerintah gini gw inget: dasar IMF tuh jahat, nyuruh naikin suku bunga, pdhl itu akan mempersulit, malah bikin ancur, justru harusnya suku bunga turun, hutang d permudah. Tp bang, suku bunga malah naik, gmn pendapatnya bang? Ilmu gratisnya tolong bang",@argiasrimustika6867,0,Netral
smoga mas bennix bisa jadi direktur bursa efek,@AdizKurnia,0,Netral
SEMOGA BPK BENIX SEHAT SELALU  UNTUK BERI PENCERAHAN SAMA RAKYAT DI BAWAH SEPERTI KAMI INI OKAY PAK BENIX .GORONTALO,@TariBaster,0,Netral
Yg aku heran kalau negara besar semua kaya2... cuma india dengan indodesia je yg miskin😂😂😂 pelik aku😂😂😂,@edieneo477,0,Netral
Ayo...lawan berita hoax yg di sebarkan oleh scammer oleh singapore....!!!,@junaediwahid5837,6,Netral
"ihsg 💪
Ihsg 💪💪
IHSG 💪💪💪
🇮🇩       🇮🇩      🇮🇩",@dedeutomo8274,0,Netral
"""netizen netizen yang ga punya OTAK"" 😂😂😂😂😂
mantap bang Ben",@AgusSusanto-dk7jc,0,Positif
Bang. Sekarang saya ngefans sama anda 😁😁 👍👍👍👍👍,@poetradjepank5429,0,Netral
"Emang singapur yg mau hancurin ekonomi negri ini.. 😡😡😡
Ayolah rakyat NKRI kita bersatu hancurkan senua bentuk ekonomi singapur dengan kemampuan kita.. Kita balas semua perbuatan mereka.. Klo perlu hancurkan semua data mereka..😡😡😡
Kita buktikan klo rakyat indonesia bukan orang yg mudah di intimidasi..👍
❤🇮🇩🇮🇩🇮🇩❤",@DedyGhaza,0,Netral
"Om benix bicara mengunakan Data dan membandingkan juga dengan data dan fakta bukan karena nitizen bodoh, yg tolol cuma omdo aja",@alsafirabizarjurdhanabizar2249,0,Netral
Sudah beberapa kali Tenpo bikin hoax. Saya sudah block media2 seperti itu karena bagaimana mempercayai media yng sering bohong,@Wabha-Ma1dha,0,Negatif
Menurut ane banyak penghianat bangsa.soalny media2 itu biki yg benci pemerintah tambah benci. Untung ane mantau benix  terus. Dan cari impormasi dari tempat lain.,@aderasmani4739,0,Netral
Lawan MSCI bongkar niat buruknya,@Wabha-Ma1dha,0,Negatif
"Apa cuma gw yang selalu nya nungguin om bannix upload video terbarunya.
🙏",@AntonPriyadi-z9u,0,Netral
"Sebagai Rakyat Malaysia, Seru kali liat kalian Indonesia/Singapore Saling Serang Berita SELL/BUY:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:",@Trexy1808,0,Netral
Untungnya kita ada konten bermanfaat dari om benix karena banyak rakyat kita ketipu propaganda bohong antek antek asing Singapura dan Amerika itulah kita harus cros cek dulu jangan termakan hasutan dari anjing Singapura babi,@alsafirabizarjurdhanabizar2249,0,Netral
Sudah terbiasa di takutin,@use_doii89,0,Netral
Kadang narasi benik menghasut kadang tegak lurus.,@SlametNurhabifin,0,Netral
Kyaknya udah di fase kalau ngga nonton video terbaru Bennix bisa sakau,@ahmadnurrokhim7016,0,Netral
#janganpercayamsci,@kopihitam099,0,Netral
#mscihoax,@kopihitam099,0,Netral
"2024 investor asing udh net sell 29 triliun
2025 net sell 40 triliun
Baru setengah jalan 2026 udah net sell 65 triliun

Bennix bennix, ngomong aja lu gede! Kalau mau market bagus, ini salh satu channel2 yg harus di tutup, di black list!!

SMDR apa kabar SMDR?!?!?!?! 😂😂😂😂😂😂😂😂😂😂😂😂",@fandinasution8997,0,Positif
"Udah jelas, negara serumpun itulah yang menjadi penyebar gosipnya Malaysia+Singapura dan Australia, penyokong dari negara maju yang menyebarkan gosip SELL INDONESIA. Mana mau mereka meelihat Indonesia maju?Gara-gara adanya DSI, mereka ketakutan, terutama Singapura, dan giliran pemerintah bilang akan menghentikan ekspor listrik ke Singapura pada tahun 2026 dan akan mengkaji ulang pelaksanaannya untuk kepentingan nasional. Ehhh, PM Singapura langsung panik ke Jakarta dan konpers akan menghormati keputusan pemerintahan untuk tetap bekerja sama dengan berinvestasi modal untuk membangun proyek Green Energy di KEK Batam. Intinya, mereka adalah kumpulan negara tetangga yang takut sama eksistensi Danantara, khususnya DSI. Jadi yang dilawan sama Pemerintah itu levelnya negara++ (oligarki/mafia nakal dalam negeri yang simpen duitnya di Singapura+Malaysia) ya sejatinya rakyat yang cinta NKRI harus bersatu melawan antek-antek asing+pengkhianat bangsa ini dong dengan BUY INDONESIA😼❤‍🔥🔥Giliran mereka krisis beras, pupuk, listrik makanya terpaksa ngemis ke Indonesia.",@RinoaHeartily1741717y,0,Netral
"Lawan bang Joss, bnyk orang koplak😂",@slametbudi1593,0,Netral
Kata guaah bang benix pemerintah nya yang ngga langsung gercap conto kelarifasi langsung beli biar pengusaha langsung tau jangan nungguin firal dulu baru felarifasi😅,@muhamadbudi2120,0,Netral
"Buy Indonesia,,",@azwarabdillah133,0,Netral
Ora wedi doso,@haniyuli8356,0,Netral
"😅sedikit faham,tp bnyk yg ga faham,taulah😢penting besok kerja ada proyek renov dapur tetangga,moga2 ekonomi Indonesia normal,harga bhn bangunan ga mahal,gw  ttp dpt kerjaan😅😅😅😅",@KembangGula-l6b,0,Negatif
"Singapura gak tau kalo netizen kita paling solid di dunia kalo soal bela negara, sampe ada aja yang salah sasaran 😅.

 bahkan diakui Microsoft sebagai netizen paling gak ramah, bahkan bisa buat akun Ig Microsoft menutup kolom komentarnya gegara di hujat habis-habisan 🤣",@Zainul_semproll,2,Netral
"bilakah Singapore gelap?
bilakah mbak Dan kuli Indo keluar Dari malaysia.apak kah Indo jadi kuli sampai mati",@zulhasriamin5507,0,Netral
"Mulai lah dari sekarang, cintai lah produk produk indonesia..",@OyGee-h2m,0,Netral
